President,party,year,Date,Minutes,time
Lyndon B. Johnson,Democrat,1964,1/8/1964,0:40:50,40.83
Lyndon B. Johnson,Democrat,1965,1/4/1965,0:47:10,47.17
Lyndon B. Johnson,Democrat,1966,1/12/1966,0:50:36,50.6
Lyndon B. Johnson,Democrat,1967,1/10/1967,1:11:16,71.27
Lyndon B. Johnson,Democrat,1968,1/17/1968,0:50:13,50.22
Lyndon B. Johnson,Democrat,1969,1/14/1969,0:43:41,43.68
Richard Nixon,Republican,1970,1/22/1970,0:36:40,36.67
Richard Nixon,Republican,1971,1/22/1971,0:33:17,33.28
Richard Nixon,Republican,1972,1/20/1972,0:28:55,28.92
Richard Nixon,Republican,1974,1/30/1974,0:42:51,42.85
Gerald R. Ford,,1975,1/15/1975,0:41:00,41
Gerald R. Ford,,1976,1/19/1976,0:50:38,50.63
Gerald R. Ford,,1977,1/12/1977,0:44:55,44.92
Jimmy Carter,Democrat,1978,1/19/1978,0:46:04,46.07
Jimmy Carter,Democrat,1979,1/25/1979,0:32:32,32.53
Jimmy Carter,Democrat,1980,1/21/1980,0:32:04,32.07
Ronald Reagan,Republican,1982,1/26/1982,0:40:14,40.23
Ronald Reagan,Republican,1983,1/25/1983,46,46
Ronald Reagan,Republican,1984,1/25/1984,0:43:02,43.03
Ronald Reagan,Republican,1985,2/6/1985,40 min,40
Ronald Reagan,Republican,1986,2/4/1986,31 min,31
Ronald Reagan,Republican,1987,1/27/1987,0:34:39,34.65
Ronald Reagan,Republican,1988,1/25/1988,apx. 44 min.,44
George Bush,Republican,1990,1/31/1990,0:35:43,35.72
George Bush,Republican,1991,1/29/1991,0:47:10,47.17
George Bush,Republican,1992,1/28/1992,0:51:04,51.07
William J. Clinton,Democrat,1994,1/25/1994,1:03:44,63.73
William J. Clinton,Democrat,1995,1/24/1995,1:24:58,84.97
William J. Clinton,Democrat,1996,1/23/1996,1:06:41,66.68
William J. Clinton,Democrat,1997,2/4/1997,1:04:21,64.35
William J. Clinton,Democrat,1998,1/27/1998,1:16:43,76.72
William J. Clinton,Democrat,1999,1/19/1999,1:18:40,78.67
William J. Clinton,Democrat,2000,1/27/2000,1:28:49,88.82
George W. Bush,Republican,2002,1/29/2002,0:47:49,47.82
George W. Bush,Republican,2003,1/28/2003,0:59:35,59.58
George W. Bush,Republican,2004,1/20/2004,0:53:55,53.92
George W. Bush,Republican,2005,2/2/2005,0:53:20,53.33
George W. Bush,Republican,2006,1/31/2006,0:51:08,51.13
George W. Bush,Republican,2007,1/23/2007,0:49:24,49.4
George W. Bush,Republican,2008,1/28/2008,0:52:56,52.93
Barack Obama,Democrat,2010,1/27/2010,1:09:20,69.33
Barack Obama,Democrat,2011,1/25/2011,1:01:34,61.57
Barack Obama,Democrat,2012,1/24/2012,1:04:44,64.73
Barack Obama,Democrat,2013,2/12/2013,0:59:51,59.85
Barack Obama,Democrat,2014,1/28/2014,1:05:07,65.12
Barack Obama,Democrat,2015,1/20/2015,0:59:57,59.95
Barack Obama,Democrat,2016,1/12/2016,0:58:44,58.73
Donald J. Trump - I,Republican,2018,1/30/2018,1:20:32,80.53
Donald J. Trump - I,Republican,2019,2/5/2019,1:22:25,82.42
Donald J. Trump - I,Republican,2020,2/4/2020,1:18:04,78.07
"Joseph R. Biden, Jr.",Democrat,2022,3/1/2022,1:01:50,61.83
"Joseph R. Biden, Jr.",Democrat,2023,2/7/2023,1:13:00,73
"Joseph R. Biden, Jr.",Democrat,2024,3/7/2024,1:07:17,67.28
