word,n
people,46
thank,44
country,42
america,36
great,34
years,28
million,26
american,24
administration,20
new,20
job,19
make,19
first,18
money,18
beautiful,17
right,17
their,17
tonight,17
ago,16
before,16
border,16
here,16
history,16
tax,16
they're,16
up,16
world,16
again,15
because,15
even,15
her,15
if,15
no,15
would,15
i'm,14
love,14
states,14
believe,13
did,13
me,13
security,13
take,13
that's,13
there,13
united,13
where,13
any,12
day,12
last,12
law,12
office,12
president,12
seen,12
these,12
time,12
too,12
under,12
100,11
americans,11
billion,11
old,11
really,11
tariffs,11
your,11
anything,10
biden,10
big,10
children,10
didn't,10
dollars,10
every,10
federal,10
hard,10
nation,10
should,10
two,10
working,10
year,10
being,9
come,9
dangerous,9
doing,9
done,9
future,9
got,9
government,9
him,9
lot,9
military,9
order,9
policies,9
signed,9
way,9
actually,8
best,8
bring,8
can,8
congress,8
everybody,8
fight,8
