word,n
people,43
no,42
on,42
thank,42
she,41
by,39
not,39
great,38
up,38
we're,37
as,36
country,36
he,36
going,35
were,35
it's,34
just,34
at,33
her,33
them,33
who,33
like,32
now,32
american,31
more,31
their,31
i'm,30
my,30
first,29
his,29
time,28
got,27
much,27
said,27
than,26
many,25
never,25
year,25
been,24
before,24
over,24
years,24
back,23
because,23
that's,23
tonight,23
america,22
really,22
want,22
what,22
also,21
do,21
has,21
when,21
americans,20
an,20
big,20
even,20
military,20
those,20
can,19
down,19
ever,19
had,19
last,19
new,19
say,19
believe,18
most,18
nation,18
us,18
world,18
ago,17
did,17
every,17
states,17
would,17
right,16
they're,16
which,16
here,15
make,15
through,15
about,14
care,14
didn't,14
into,14
money,14
tax,14
there,14
congress,13
good,13
history,13
if,13
lot,13
president,13
these,13
under,13
united,13
war,13
again,12
both,12
could,12
four,12
love,12
out,12
security,12
take,12
think,12
your,12
after,11
come,11
eric,11
get,11
go,11
him,11
home,11
honor,11
how,11
millions,11
nobody,11
only,11
or,11
please,11
way,11
well,11
where,11
actually,10
came,10
helicopter,10
illegal,10
long,10
months,10
open,10
record,10
see,10
stand,10
working,10
